B-V;Lum;GrpName
0.01;183.92;Roslund 5
1.52;842.91;Roslund 5
1.137;0.17;Beta Pictoris
0.034;175.22;Roslund 5
-0.045;271.22;Roslund 5
-0.007;139.88;Roslund 5
1.397;2154.85;NGC 6882
-0.089;296.34;NGC 6882
-0.086;218.64;NGC 6882
-0.107;1145.3;NGC 6882
-0.028;163.35;Roslund 5
-0.062;174.29;NGC 6882
0.031;90.35;Roslund 5
0.111;280.82;Roslund 5
0.299;17.01;Roslund 5
-0.07;255.07;Roslund 5
1.322;588.4;Roslund 5
-0.02;261;Roslund 5
0.66;2322.49;Roslund 5
-0.07;219.47;Roslund 5
0.519;4.55;Tucana / Horologium
-0.118;864.38;Tucana / Horologium
0.953;1732.39;Alessi 12
-0.078;490.89;Alessi 12
-0.004;175.64;Alessi 12
1.55;0.03;Beta Pictoris
-0.016;69.66;Alessi 12
0.344;434.55;Alessi 12
-0.064;271.87;Alessi 12
-0.071;270.25;Alessi 12
1.47;0.07;Beta Pictoris
-0.036;197.88;Alessi 12
-0.067;662.5;Alessi 12
1.271;1025.69;ASCC 113
0.011;198.15;ASCC 113
0;229.82;ASCC 113
-0.122;1384.22;ASCC 113
-0.019;179.38;ASCC 113
1.329;860.87;ASCC 113
0.098;11342.16;ASCC 113
0.514;897.49;ASCC 113
0.69;0.61;Tucana / Horologium
1.01;0.3;Beta Pictoris
0.017;51.04;NGC 7092
-0.065;102.53;NGC 7092
0.097;43.09;NGC 7092
0.05;76.93;NGC 7092
-0.028;104.98;NGC 7092
1.05;0.16;AB Doradus
0.024;61.36;NGC 7092
0.065;52.7;NGC 7092
-0.023;171.55;NGC 7092
0.011;70.36;NGC 7092
0.012;31.11;NGC 7092
-0.001;214.69;NGC 7092
-0.015;164.19;NGC 7092
0.822;137.11;NGC 7092
1.541;240.83;NGC 7092
1.4;0.08;Tucana / Horologium
0.587;1.27;Beta Pictoris
0.18;8.49;Beta Pictoris
0.66;0.94;Beta Pictoris
0.51;2.38;Tucana / Horologium
0.12;415;NGC 7160
0.236;766.25;NGC 7160
0.047;88.47;ASCC 115
0.12;117.28;ASCC 115
0.259;568.61;NGC 7160
0.085;68.42;ASCC 115
0.393;7.75;Tucana / Horologium
1.599;5536.16;NGC 7160
0.171;91.96;NGC 7160
0.052;341.98;NGC 7160
1.547;11240.1;NGC 7160
0.221;274.91;ASCC 115
1.433;1495.31;ASCC 115
0.767;0.92;Tucana / Horologium
0.5;1.53;Tucana / Horologium
0.014;946.96;NGC 7160
0.399;13.77;Tucana / Horologium
-0.07;248.1;AB Doradus
1.57;0.04;AB Doradus
-0.136;1502.87;ASCC 122
0.245;23.19;ASCC 122
-0.086;4651.91;ASCC 122
0.389;7.07;ASCC 122
0.083;20.43;ASCC 122
-0.007;16.85;ASCC 122
0.565;2.05;Beta Pictoris
0.055;12.43;ASCC 122
-0.027;22.08;ASCC 122
0.11;22.47;ASCC 122
0.013;46.04;ASCC 122
0.138;9.88;ASCC 122
-0.035;119.43;ASCC 122
0.173;44.44;ASCC 122
0.001;19.7;ASCC 122
-0.119;525.52;ASCC 122
0.446;3.59;Beta Pictoris
-0.056;111.57;ASCC 122
0.029;29.28;ASCC 122
-0.16;2430.5;ASCC 122
-0.099;142.25;ASCC 122
-0.131;821.86;ASCC 122
0.017;21.95;ASCC 122
0.068;24.1;ASCC 122
-0.108;314.12;ASCC 122
-0.05;238.73;ASCC 122
0.017;23.83;ASCC 122
0.092;21.41;ASCC 122
-0.207;9051.86;ASCC 122
0.14;24.46;ASCC 122
0.086;14.84;ASCC 122
0.029;34.35;ASCC 122
-0.137;3222;ASCC 122
-0.119;904.99;ASCC 122
-0.05;79.13;ASCC 122
0.1;17.34;ASCC 122
0.1;39.51;ASCC 122
0.064;18.23;ASCC 122
1.3;0.02;Beta Pictoris
0.083;54.27;Tucana / Horologium
-0.002;32;ASCC 122
1.597;0.01;Beta Pictoris
0.619;47.23;Cep OB3
0.479;319.8;Cep OB3
0.608;171.9;Cep OB3
0.261;557.29;Cep OB3
0.536;132.92;Cep OB3
0.563;278.5;Cep OB3
0.306;182.94;Cep OB3
0.506;474.24;Cep OB3
1.44;0.06;AB Doradus
0.342;545.05;Cep OB3
-0.025;673.27;ASCC 127
0.087;55.12;ASCC 127
-0.04;473.03;ASCC 127
0.142;35.55;ASCC 127
-0.045;273.27;ASCC 127
-0.015;294.61;ASCC 127
0.445;6.73;AB Doradus
0.749;0.65;AB Doradus
1.056;0.3;Beta Pictoris
1.29;0.12;Beta Pictoris
0.78;1.14;Tucana / Horologium
0.001;25.55;AB Doradus
0.973;0.29;AB Doradus
0.104;25.77;Diamond Cluster
-0.022;69.67;Diamond Cluster
0.061;47.57;Diamond Cluster
-0.062;169.03;Diamond Cluster
