B-V;Lum;GrpName
0.06;25.08;IC 348
0.083;20.93;IC 348
0.11;43.29;Pleiades
0.241;11.09;Alpha Perseus
0.271;4384.95;IC 348
0.714;0.69;Pleiades
0.737;0.55;Pleiades
1.07;0.18;Hyades
0.895;0.49;Hyades
0.054;16.55;IC 348
-0.073;357.25;Alpha Perseus
0.24;20.63;IC 348
0.269;6.11;Pleiades
-0.058;576.47;IC 348
0.518;2.27;Pleiades
0.035;20.12;Pleiades
0.213;12.51;IC 348
0.417;4;Hyades
0.23;14.25;Alpha Perseus
0.611;0.97;Tucana / Horologium
0.319;6.72;Hyades
0.2;11.55;IC 348
0.149;16.99;Alpha Perseus
0.516;2.24;AB Doradus
1.095;0.21;Hyades
0.57;2.15;Pleiades
0.371;7.11;Hyades
0.68;1.39;Hyades
0.89;0.59;Hyades
0.593;1.39;Hyades
-0.124;246.06;Pleiades
0.481;2.04;AB Doradus
1.18;0.16;Hyades
0.397;6.22;Hyades
1.005;0.33;Hyades
1.327;0.08;Hyades
0.637;2.7;Hyades
0.587;2.57;Pleiades
1.192;0.13;Hyades
0.427;3.74;Hyades
0.36;5.92;Hyades
1.09;0.34;Hyades
0.693;0.85;Hyades
0.64;1.02;Hyades
0.424;4.49;Hyades
0.657;1.25;Hyades
0.514;2.59;Hyades
1.204;0.11;Hyades
1.209;0.11;Beta Pictoris
1.363;0.06;Hyades
0.924;0.06;Hyades
0.705;1.9;Hyades
0.4;5.17;Hyades
0.813;0.62;Hyades
1.23;0.2;Hyades
0.756;0.97;Hyades
-0.108;181.64;Tucana / Horologium
0.681;1.98;Hyades
0.98;0.47;Hyades
1.097;0.38;Hyades
0.277;13.39;Hyades
0.745;0.64;Hyades
0.721;0.87;Hyades
0.981;101.36;Hyades
0.509;3.4;Hyades
0.283;10.13;Hyades
0.56;1.71;Hyades
0.404;7.04;Hyades
0.225;14.38;Hyades
0.456;6.62;Hyades
0.473;3.09;Tucana / Horologium
0.434;4.78;Hyades
0.441;4.22;Hyades
0.412;5.59;Hyades
0.315;8.4;Hyades
1.183;0.48;Hyades
0.518;2.68;Hyades
0.677;1.08;Hyades
0.983;84.1;Hyades
0.758;0.72;Hyades
0.908;0.71;Hyades
0.31;11.36;Hyades
1.231;0.21;Hyades
0.462;3.07;Hyades
0.855;0.51;Hyades
1.288;0.15;Hyades
0.154;24.6;Hyades
0.604;1.61;Hyades
0.518;2.47;Hyades
1.05;0.34;Hyades
0.45;4.16;Hyades
0.599;1.64;Hyades
0.378;9.02;Hyades
0.136;38.73;Hyades
0.25;13.64;Hyades
0.049;35.89;Hyades
0.509;5.08;Hyades
0.935;0.66;Hyades
0.68;1.09;Hyades
0.509;2.57;Hyades
